Wall time,Step,Value
1570379491.5774899,0,2.0321619510650635
1570379506.0074444,1,1.9402577877044678
1570379520.4214096,2,1.9279948472976685
1570379534.8064737,3,1.934529423713684
1570379549.2467484,4,1.9273045063018799
1570379563.7233455,5,1.9126471281051636
1570379578.04489,6,1.9069422483444214
1570379592.3572607,7,1.9039411544799805
1570379606.661465,8,1.9013170003890991
1570379620.9646745,9,1.9035391807556152
1570379635.2544591,10,1.8909335136413574
1570379649.6332603,11,1.8839714527130127
1570379664.0203152,12,1.8828835487365723
1570379678.2779036,13,1.8820968866348267
1570379692.5629406,14,1.8801931142807007
1570379706.9327924,15,1.8660610914230347
1570379721.2733293,16,1.8470892906188965
1570379735.7263536,17,1.8320753574371338
1570379750.2666051,18,1.7954378128051758
1570379764.9586716,19,1.8005046844482422
1570379779.5160904,20,1.7587668895721436
1570379794.028352,21,1.7643970251083374
1570379808.5494046,22,1.7492619752883911
1570379823.1300795,23,1.7628604173660278
1570379837.8994687,24,1.7246646881103516
1570379852.4139228,25,1.746706247329712
1570379867.0222805,26,1.742279291152954
1570379881.5724494,27,1.6461790800094604
1570379896.1693556,28,1.6185249090194702
1570379911.025206,29,1.5315632820129395
1570379925.6327975,30,1.4415562152862549
1570379940.224251,31,1.3605914115905762
1570379954.804588,32,1.3183189630508423
1570379969.526513,33,1.3333860635757446
1570379984.1776474,34,1.2807180881500244
1570379998.7515738,35,1.29022216796875
1570380013.4636066,36,1.2304304838180542
1570380028.0848918,37,1.2104783058166504
1570380042.6220362,38,1.1994026899337769
1570380057.3455634,39,1.1634705066680908
1570380071.9260788,40,1.1569551229476929
1570380086.5706,41,1.1511868238449097
1570380101.1893702,42,1.1440579891204834
1570380115.926757,43,1.1062190532684326
1570380130.6081033,44,1.0842047929763794
1570380145.2021453,45,1.0661078691482544
1570380159.7971377,46,1.0536882877349854
1570380174.2809944,47,1.0598827600479126
1570380188.8251781,48,1.0428684949874878
1570380203.5100453,49,1.0150023698806763
1570380218.2818277,50,0.9870293140411377
1570380233.0591555,51,0.9479076266288757
1570380247.847923,52,0.9848339557647705
1570380262.4411676,53,0.9946374297142029
1570380277.008026,54,0.9347837567329407
1570380291.5852273,55,0.9259409308433533
1570380306.296221,56,0.9215674996376038
1570380321.1428437,57,0.9477441310882568
1570380335.8594534,58,0.9411395788192749
1570380350.719982,59,0.8840129971504211
1570380365.4089675,60,0.8687655329704285
1570380380.002076,61,0.8428732752799988
1570380394.5369651,62,0.8713304996490479
1570380409.1772912,63,0.8365890979766846
1570380423.8257575,64,0.8686420917510986
1570380438.5386162,65,0.8399435877799988
1570380453.3148632,66,0.8167857527732849
1570380467.919706,67,0.8018898963928223
1570380482.4940782,68,0.8309176564216614
1570380497.1212654,69,0.7921833395957947
1570380511.9336398,70,0.7775043845176697
1570380526.739779,71,0.7868534326553345
1570380541.4584963,72,0.7610408067703247
1570380556.1213784,73,0.7502001523971558
1570380570.8020523,74,0.7147376537322998
1570380585.4521558,75,0.7715550661087036
1570380600.0938268,76,0.7211102843284607
1570380614.7093174,77,0.7530133128166199
1570380629.3850694,78,0.6976747512817383
1570380644.2940142,79,0.7004544734954834
1570380658.9462657,80,0.7103204727172852
1570380673.5652554,81,0.7001401782035828
1570380688.154085,82,0.7052996754646301
1570380702.844445,83,0.7362101674079895
1570380717.509654,84,0.6905860304832458
1570380732.196001,85,0.7047032713890076
1570380746.9162235,86,0.7073624134063721
1570380761.643977,87,0.669662356376648
1570380776.2569957,88,0.671617329120636
1570380790.9300234,89,0.6591251492500305
1570380805.5568926,90,0.6382178664207458
1570380820.1435628,91,0.6450827717781067
1570380834.7707636,92,0.6237253546714783
1570380849.3101385,93,0.6506950259208679
1570380863.9504185,94,0.6456602811813354
1570380878.6885848,95,0.6320627331733704
1570380893.342665,96,0.61751389503479
1570380908.0888755,97,0.6285650134086609
1570380922.8303654,98,0.5772461891174316
1570380937.48103,99,0.6436152458190918
1570380952.1509845,100,0.5699970126152039
1570380966.8834727,101,0.580797553062439
1570380981.6606877,102,0.6034197211265564
1570380996.3883266,103,0.5924790501594543
1570381011.1064248,104,0.5990287661552429
1570381025.7534914,105,0.5764874815940857
1570381040.3343635,106,0.5723444819450378
1570381054.8822415,107,0.5611823201179504
1570381069.5645914,108,0.5417656302452087
1570381084.3231604,109,0.5704304575920105
1570381099.2094514,110,0.5551913380622864
1570381114.0998573,111,0.5505684614181519
1570381128.7782416,112,0.535231351852417
1570381143.401083,113,0.5312299728393555
1570381158.0708628,114,0.539454460144043
1570381172.8033528,115,0.552563488483429
1570381187.4942374,116,0.5010745525360107
1570381202.1621804,117,0.5228976607322693
1570381216.860747,118,0.5271755456924438
1570381231.7693617,119,0.5035091042518616
1570381246.421323,120,0.486009806394577
1570381261.0091124,121,0.5099123120307922
1570381275.6090622,122,0.5027951002120972
1570381290.2307177,123,0.5029101371765137
1570381304.9899976,124,0.49115753173828125
1570381319.7001657,125,0.4800691306591034
1570381334.398336,126,0.49295303225517273
1570381349.1466482,127,0.4728018343448639
1570381364.038931,128,0.4681645333766937
1570381378.7221584,129,0.49391254782676697
1570381393.3882084,130,0.4561437964439392
1570381408.0380123,131,0.47646957635879517
1570381422.6936538,132,0.46866506338119507
1570381437.5289657,133,0.46098592877388
1570381452.240913,134,0.44352254271507263
1570381466.8621407,135,0.45130544900894165
1570381481.502176,136,0.45339688658714294
1570381496.2016604,137,0.45183300971984863
1570381511.0301056,138,0.4633931517601013
1570381525.7292554,139,0.4527255892753601
1570381540.4076467,140,0.43721216917037964
1570381555.1083872,141,0.4280843138694763
1570381569.8729634,142,0.4624205231666565
1570381584.6397097,143,0.4551437497138977
1570381599.2140844,144,0.426669716835022
1570381613.8526745,145,0.4320114850997925
1570381628.5508146,146,0.429159939289093
1570381643.305913,147,0.4046575725078583
1570381657.9880602,148,0.4176231324672699
1570381672.8029861,149,0.4539160430431366
